time,open,high,low,close,buy_money,sell_money,money
2017-01-01 00:00:00,968.49,968.76,961.69,961.69,452897.0,734678.0,-281781.0
2017-01-01 04:00:00,961.43,968.86,960.9,967.09,714249.0,554635.0,159614.0
2017-01-01 08:00:00,966.66,979.45,965.43,977.99,1517194.0,1354750.0,162444.0
2017-01-01 12:00:00,976.49,981.83,974.31,981.72,810917.0,752426.0,58491.0
2017-01-01 16:00:00,981.14,1009.87,981.14,998.5,4493570.0,4350122.0,143448.0
2017-01-01 20:00:00,998.88,1007.0,994.84,1001.15,2286362.0,2270554.0,15808.0
2017-01-02 00:00:00,1001.15,1015.0,996.54,1006.98,2756707.0,2746541.0,10166.0
2017-01-02 04:00:00,1008.38,1022.54,1005.99,1020.11,1921918.0,1440771.0,481147.0
2017-01-02 08:00:00,1020.9,1030.05,1012.35,1028.46,2680731.0,2498017.0,182714.0
2017-01-02 12:00:00,1028.47,1033.0,997.35,1029.0,3546429.0,4872749.0,-1326320.0
2017-01-02 16:00:00,1029.0,1035.0,1011.23,1013.27,2420023.0,3975673.0,-1555650.0
2017-01-02 20:00:00,1014.0,1029.91,1003.73,1022.76,4300866.0,3852796.0,448070.0
2017-01-03 00:00:00,1022.59,1037.26,1020.01,1033.5,2791732.0,2303250.0,488482.0
2017-01-03 04:00:00,1033.49,1035.97,1015.0,1020.95,990769.0,1732857.0,-742088.0
2017-01-03 08:00:00,1020.95,1020.98,1003.0,1017.99,989368.0,1969284.0,-979916.0
2017-01-03 12:00:00,1018.84,1030.0,1016.0,1019.88,2808121.0,1819326.0,988795.0
2017-01-03 16:00:00,1019.77,1027.0,1018.11,1020.61,748582.0,684001.0,64581.0
2017-01-03 20:00:00,1020.61,1040.66,1018.64,1036.9,2799921.0,1885393.0,914528.0
2017-01-04 00:00:00,1037.29,1051.55,1036.49,1049.67,2550393.0,1793364.0,757029.0
2017-01-04 04:00:00,1047.66,1070.0,1047.24,1065.74,2500357.0,1947877.0,552480.0
2017-01-04 08:00:00,1066.01,1093.92,1057.0,1085.03,3401124.0,2785549.0,615575.0
2017-01-04 12:00:00,1086.03,1108.0,1067.0,1090.0,6343558.0,6901123.0,-557565.0
2017-01-04 16:00:00,1089.88,1177.9,1089.16,1138.85,8148986.0,7220776.0,928210.0
2017-01-04 20:00:00,1138.97,1175.98,1102.76,1152.0,8002360.0,8349801.0,-347441.0
2017-01-05 00:00:00,1154.06,1160.0,1116.66,1153.51,3636889.0,4013570.0,-376681.0
2017-01-05 04:00:00,1152.1,1180.45,1152.1,1165.36,3098022.0,2383635.0,714387.0
2017-01-05 08:00:00,1165.37,1165.37,1032.3,1093.04,9540488.0,10198917.0,-658429.0
2017-01-05 12:00:00,1092.36,1095.11,876.08,984.64,14126616.0,22368561.0,-8241945.0
2017-01-05 16:00:00,986.42,987.5,924.0,952.05,5711791.0,8011351.0,-2299560.0
2017-01-05 20:00:00,951.5,1022.52,942.01,1005.33,5623732.0,4542467.0,1081265.0
2017-01-06 00:00:00,1005.17,1029.24,945.0,987.2,4410849.0,5854962.0,-1444113.0
2017-01-06 04:00:00,987.2,991.44,967.75,981.34,2570814.0,2493482.0,77332.0
2017-01-06 08:00:00,983.8,984.01,841.75,876.04,5925949.0,8509604.0,-2583655.0
2017-01-06 12:00:00,877.0,916.0,857.56,910.19,6348039.0,5140108.0,1207931.0
2017-01-06 16:00:00,910.01,925.38,877.81,888.0,3664979.0,4811980.0,-1147001.0
2017-01-06 20:00:00,888.0,909.67,876.68,895.85,2344957.0,2555796.0,-210839.0
2017-01-07 00:00:00,895.9,901.57,811.19,830.0,4300258.0,5335981.0,-1035723.0
2017-01-07 04:00:00,828.39,841.92,805.03,823.0,2851652.0,2678152.0,173500.0
2017-01-07 08:00:00,824.0,884.28,805.65,871.01,2109636.0,1852900.0,256736.0
2017-01-07 12:00:00,873.0,897.51,856.0,889.59,3087031.0,2754862.0,332169.0
2017-01-07 16:00:00,891.39,912.72,881.19,887.23,2363582.0,2713360.0,-349778.0
2017-01-07 20:00:00,888.55,910.18,880.11,908.22,2290875.0,2134051.0,156824.0
2017-01-08 00:00:00,907.35,921.61,888.32,917.09,2067587.0,2299563.0,-231976.0
2017-01-08 04:00:00,917.02,939.33,915.44,923.27,2230050.0,2219223.0,10827.0
2017-01-08 08:00:00,924.97,935.85,900.14,908.26,1632901.0,2077125.0,-444224.0
2017-01-08 12:00:00,905.85,926.25,893.35,905.02,3075558.0,2805437.0,270121.0
2017-01-08 16:00:00,903.2,909.21,877.58,901.67,2095787.0,2284368.0,-188581.0
2017-01-08 20:00:00,901.99,914.43,898.46,909.25,1231226.0,1113829.0,117397.0
2017-01-09 00:00:00,908.82,911.04,860.21,882.45,2741924.0,3744412.0,-1002488.0
2017-01-09 04:00:00,881.95,897.16,873.75,882.0,1170143.0,1234620.0,-64477.0
2017-01-09 08:00:00,882.0,910.24,875.78,904.86,1041133.0,604487.0,436646.0
2017-01-09 12:00:00,903.26,909.85,894.64,902.03,882981.0,1007934.0,-124953.0
2017-01-09 16:00:00,902.14,902.14,884.0,894.04,1394277.0,1529162.0,-134885.0
2017-01-09 20:00:00,894.04,905.0,888.33,895.46,959025.0,815093.0,143932.0
2017-01-10 00:00:00,897.0,916.99,897.0,905.79,1511918.0,1051505.0,460413.0
2017-01-10 04:00:00,906.1,906.42,893.38,901.6,648081.0,979008.0,-330927.0
2017-01-10 08:00:00,901.99,915.96,896.87,903.77,1192560.0,863460.0,329100.0
2017-01-10 12:00:00,903.82,905.52,895.0,899.62,578652.0,866809.0,-288157.0
2017-01-10 16:00:00,901.54,902.79,899.01,901.79,295610.0,280913.0,14697.0
2017-01-10 20:00:00,902.08,912.92,899.5,904.0,1385434.0,1100470.0,284964.0
2017-01-11 00:00:00,904.14,910.44,903.0,909.57,510741.0,378948.0,131793.0
2017-01-11 04:00:00,909.52,918.9,908.45,911.69,989546.0,935559.0,53987.0
2017-01-11 08:00:00,912.09,915.5,800.25,819.45,6177820.0,7533055.0,-1355235.0
2017-01-11 12:00:00,819.67,819.67,726.53,785.03,4900673.0,6600763.0,-1700090.0
